coda_row_id	arda_eid	matched_via
i-8b8f5be699a3297c2fcbb97ca128f506850225e9fcee152251a9e87754a991f9	6ebbc0dd-88ac-40e8-bce3-385d599ca07e	description
i-2b34142107c1e87ff852448d3e8c1090d145a80c19926eafd6f323746682832d	c01038dc-4922-4c8f-a358-e930bb73f706	description
i-b2aa96bff82fae177e68ed1a9430252c3e4068e6f7d6958f19a827d486a12877	4341d197-487d-493e-b0ef-7abb4ef50925	description
i-4ed8bbe886a960578d5f6e8d3c9aedae141ff90b72d58f03ce05a7ff7c35f7d4	c4df624b-5ad6-41a5-aebb-673a5c251bc9	description
i-cccbd4b095b5fbd936377c0e028380f604b762eb697186c88b710f816c9f17bc	c54f2793-b4cc-4c0f-bec5-52c7721e9f10	description
i-21af35299f87a202d0eabed9177a53aee68cd0d9fc41cbd9b452a165c7927c08	fb8ad8bf-8cd5-4490-a43c-382db3e22374	description
i-474c1662c7c40b88fdb5596fd3e14a185f416a6bb617af3bf91ae53c9280d6bc	88009018-0845-4b1a-b50a-4e14573440df	description
i-ceb33ac28f3a3247f09f9b951c9fdcbfc9be7887c0ca42272beaf80c5df9708c	f72e9bbb-145b-4501-86d0-450442ce157a	description
i-d4147f5ad4650caae4c170f6f3ec19742a359e598051c61337551ad10e9d680f	97d99c69-e1bb-4047-a154-2881f951a9c1	description
i-4c877c9966233d71e9cb2a89b62ae460e687a2d9fa76dea41135e945390251c1	d8e82385-5873-4330-8b13-fdb2b512465d	numeric-base
i-3724f167ceeea744098bc048e6d5a98e5c61ef0af6e546e77a2f596e7b271316	e20786fd-5bad-4eb0-b83c-dfa465d1469a	numeric-base
i-4f60af1d66add56bc0c5ce7a2b40ac2f27ee675a1f22442eb15827f3da226fc1	8172c5a9-f89e-4795-a244-27769a7b4f0a	description
i-dc9846bf75daa2394ecd0633e9ae2ec362309806da6ab18490adb0f057d7c1cb	c01038dc-4922-4c8f-a358-e930bb73f706	description
i-661f445902000adf43cd88ba72f04993d13864dac17b7d4cd1aa32ae19ec0183	0a53e22a-3a1d-430e-904d-d5993ec04063	description
i-b652f5549cff3a9d60ef89b932a35444fce06e335a3f0411c8a7bee977b8834e	6a6152dd-4af8-4307-9936-2f3fe40890a3	description
i-504e102f06efa2fda2241943b128c0987fede1fda18ebcdb2d8664707ab77c40	05809847-01e5-4f16-8b3e-4f3d1dcee8e7	numeric-base
i-49949dd31e7fd0658e48212a60dbe8e81e2e51b5f0127b9b94de54710ea92aea	586bfcba-2681-4925-8a5e-b96e22a8bbcb	description
i-626482e917a7298fd9944ae7cf8e553b131b5d607a3b281341c439771b0e8124	e7fcdf66-46da-45f0-849e-5845491cda0b	description
i-dd2986d58066ec628be4b62eb3c4e847c7fe7f9d1827145b164b477d176f7e24	8d518d40-c3f5-44a9-94c4-c5283a3d7b0f	description
